
=================== Run: 2025-10-31 06:22:00.639239 ===================

🚀 Expert Supreme — 3-Fold Stratified CV
Supreme[fold 1] ✅ Using 2 GPUs
Supreme[F2] Ep10 | loss=0.3498 | acc=0.5687 | f1=0.5602 | prec=0.5604 | rec=0.5617 | mcc=0.1220 | thr=0.52
Supreme[F2] Ep11 | loss=0.3482 | acc=0.5710 | f1=0.5632 | prec=0.5635 | rec=0.5651 | mcc=0.1286 | thr=0.52
Supreme[F2] Ep12 | loss=0.3463 | acc=0.5755 | f1=0.5625 | prec=0.5624 | rec=0.5626 | mcc=0.1250 | thr=0.53
Supreme[F2] Ep13 | loss=0.3446 | acc=0.5751 | f1=0.5655 | prec=0.5654 | rec=0.5666 | mcc=0.1320 | thr=0.53
Supreme[F2] Ep14 | loss=0.3429 | acc=0.5762 | f1=0.5674 | prec=0.5674 | rec=0.5688 | mcc=0.1362 | thr=0.53
Supreme[F2] Ep15 | loss=0.3408 | acc=0.5798 | f1=0.5705 | prec=0.5704 | rec=0.5717 | mcc=0.1420 | thr=0.53
Supreme[F2] Ep16 | loss=0.3396 | acc=0.5814 | f1=0.5715 | prec=0.5713 | rec=0.5724 | mcc=0.1437 | thr=0.53
Supreme[F2] Ep17 | loss=0.3384 | acc=0.5846 | f1=0.5730 | prec=0.5728 | rec=0.5735 | mcc=0.1463 | thr=0.53
Supreme[F2] Ep18 | loss=0.3366 | acc=0.5802 | f1=0.5738 | prec=0.5745 | rec=0.5766 | mcc=0.1511 | thr=0.52
Supreme[F2] Ep19 | loss=0.3343 | acc=0.5885 | f1=0.5748 | prec=0.5748 | rec=0.5747 | mcc=0.1495 | thr=0.53
Supreme[F2] Ep20 | loss=0.3333 | acc=0.5842 | f1=0.5762 | prec=0.5762 | rec=0.5779 | mcc=0.1542 | thr=0.52
Supreme[F2] Ep21 | loss=0.3322 | acc=0.5862 | f1=0.5763 | prec=0.5761 | rec=0.5772 | mcc=0.1533 | thr=0.52
Supreme[F2] Ep22 | loss=0.3314 | acc=0.5856 | f1=0.5757 | prec=0.5755 | rec=0.5767 | mcc=0.1522 | thr=0.52
Supreme[F2] Ep23 | loss=0.3297 | acc=0.5859 | f1=0.5767 | prec=0.5765 | rec=0.5779 | mcc=0.1544 | thr=0.52
Supreme[F2] Ep24 | loss=0.3304 | acc=0.5850 | f1=0.5759 | prec=0.5757 | rec=0.5771 | mcc=0.1529 | thr=0.52
Supreme[F2] Ep25 | loss=0.3286 | acc=0.5851 | f1=0.5758 | prec=0.5756 | rec=0.5770 | mcc=0.1526 | thr=0.52
Supreme[F2] Ep26 | loss=0.3290 | acc=0.5855 | f1=0.5767 | prec=0.5766 | rec=0.5782 | mcc=0.1548 | thr=0.52
Supreme[F2] Ep27 | loss=0.3275 | acc=0.5864 | f1=0.5770 | prec=0.5768 | rec=0.5781 | mcc=0.1549 | thr=0.52
Supreme[F2] Ep28 | loss=0.3276 | acc=0.5876 | f1=0.5777 | prec=0.5775 | rec=0.5787 | mcc=0.1562 | thr=0.52
Supreme[F2] Ep29 | loss=0.3273 | acc=0.5877 | f1=0.5779 | prec=0.5776 | rec=0.5789 | mcc=0.1565 | thr=0.52
Supreme[F2] Ep30 | loss=0.3281 | acc=0.5875 | f1=0.5777 | prec=0.5775 | rec=0.5787 | mcc=0.1562 | thr=0.52
⚠️  SWA eval skipped for supreme[F2]: 'dict' object has no attribute 'to'
🏁 Supreme[F2] Best Ep29 | Acc=0.5877 | F1=0.5779
Supreme[fold 3] ✅ Using 2 GPUs
Supreme[F3] Ep01 | loss=0.4393 | acc=0.5316 | f1=0.5070 | prec=0.5083 | rec=0.5079 | mcc=0.0162 | thr=0.49
Supreme[F3] Ep02 | loss=0.3950 | acc=0.5302 | f1=0.5129 | prec=0.5130 | rec=0.5129 | mcc=0.0258 | thr=0.54
Supreme[F3] Ep03 | loss=0.3816 | acc=0.5155 | f1=0.5100 | prec=0.5125 | rec=0.5129 | mcc=0.0253 | thr=0.53
Supreme[F3] Ep04 | loss=0.3745 | acc=0.5612 | f1=0.5291 | prec=0.5347 | rec=0.5316 | mcc=0.0662 | thr=0.52
Supreme[F3] Ep05 | loss=0.3670 | acc=0.5472 | f1=0.5437 | prec=0.5474 | rec=0.5489 | mcc=0.0963 | thr=0.51
Supreme[F3] Ep06 | loss=0.3637 | acc=0.5665 | f1=0.5450 | prec=0.5467 | rec=0.5451 | mcc=0.0918 | thr=0.52
Supreme[F3] Ep07 | loss=0.3590 | acc=0.5635 | f1=0.5518 | prec=0.5517 | rec=0.5522 | mcc=0.1038 | thr=0.53
Supreme[F3] Ep08 | loss=0.3564 | acc=0.5697 | f1=0.5539 | prec=0.5542 | rec=0.5537 | mcc=0.1079 | thr=0.53
Supreme[F3] Ep09 | loss=0.3526 | acc=0.5737 | f1=0.5596 | prec=0.5596 | rec=0.5595 | mcc=0.1191 | thr=0.54
Supreme[F3] Ep10 | loss=0.3499 | acc=0.5727 | f1=0.5620 | prec=0.5619 | rec=0.5627 | mcc=0.1245 | thr=0.54
Supreme[F3] Ep11 | loss=0.3501 | acc=0.5749 | f1=0.5652 | prec=0.5651 | rec=0.5663 | mcc=0.1314 | thr=0.54
Supreme[F3] Ep12 | loss=0.3472 | acc=0.5774 | f1=0.5672 | prec=0.5670 | rec=0.5680 | mcc=0.1350 | thr=0.54
Supreme[F3] Ep13 | loss=0.3461 | acc=0.5785 | f1=0.5678 | prec=0.5676 | rec=0.5684 | mcc=0.1360 | thr=0.54
Supreme[F3] Ep14 | loss=0.3436 | acc=0.5809 | f1=0.5702 | prec=0.5700 | rec=0.5709 | mcc=0.1408 | thr=0.54
Supreme[F3] Ep15 | loss=0.3417 | acc=0.5811 | f1=0.5712 | prec=0.5710 | rec=0.5721 | mcc=0.1431 | thr=0.54
Supreme[F3] Ep16 | loss=0.3403 | acc=0.5835 | f1=0.5717 | prec=0.5715 | rec=0.5721 | mcc=0.1436 | thr=0.54
Supreme[F3] Ep17 | loss=0.3378 | acc=0.5818 | f1=0.5733 | prec=0.5733 | rec=0.5749 | mcc=0.1482 | thr=0.54
Supreme[F3] Ep18 | loss=0.3368 | acc=0.5847 | f1=0.5745 | prec=0.5743 | rec=0.5753 | mcc=0.1496 | thr=0.54
Supreme[F3] Ep19 | loss=0.3348 | acc=0.5837 | f1=0.5747 | prec=0.5746 | rec=0.5760 | mcc=0.1507 | thr=0.54
Supreme[F3] Ep20 | loss=0.3330 | acc=0.5891 | f1=0.5777 | prec=0.5775 | rec=0.5782 | mcc=0.1557 | thr=0.54
Supreme[F3] Ep21 | loss=0.3334 | acc=0.5869 | f1=0.5766 | prec=0.5763 | rec=0.5774 | mcc=0.1537 | thr=0.54
Supreme[F3] Ep22 | loss=0.3305 | acc=0.5826 | f1=0.5774 | prec=0.5788 | rec=0.5812 | mcc=0.1600 | thr=0.53
Supreme[F3] Ep23 | loss=0.3291 | acc=0.5886 | f1=0.5786 | prec=0.5783 | rec=0.5795 | mcc=0.1578 | thr=0.54
